dataset,split,point_index,t,measured_X,measured_Y,measured_Z,ref_X,ref_Y,ref_Z
Dataset01,all,126,12.600000000000001,9.581637,9.2977953,-7.0808315,9.581063487085787,9.297887326806567,-7.085215901309586
Dataset01,all,127,12.700000000000001,9.6021756,9.2680155,-6.9416549,9.601355074743376,9.269261542962942,-6.946884447110371
Dataset01,all,128,12.8,9.6271506,9.2440349,-6.7920525,9.62621147305478,9.244976249019926,-6.797271887217217
Dataset01,all,129,12.9,9.6274528,9.2251201,-6.6538996,9.62761142013556,9.225754517544678,-6.658172480277597
Dataset01,all,130,13.0,9.6309199,9.2317338,-6.5312027,9.630978878962742,9.231245311504312,-6.534411214775807
Dataset01,all,131,13.100000000000001,9.6146598,9.2420112,-6.3954375,9.615522742193575,9.241369701924608,-6.398849612176579
Dataset01,all,132,13.200000000000001,9.5990502,9.2437377,-6.2564292,9.599841104825988,9.243500734546277,-6.259673572985821
Dataset01,all,133,13.3,9.5847963,9.2581387,-6.12201,9.585456510354343,9.257417316165185,-6.124763603331251
Dataset01,all,134,13.4,9.5707691,9.2717157,-5.9917235,9.571354618794466,9.271073828500521,-5.99403640063586
Dataset01,all,135,13.5,9.5600048,9.2746677,-5.8532986,9.560399525194027,9.274525505864277,-5.8557188676686165
Dataset01,all,136,13.600000000000001,9.5533776,9.2899934,-5.7312761,9.553558023948497,9.2893745074531,-5.732804672619087
Dataset01,all,137,13.700000000000001,9.5496661,9.2997404,-5.6001852,9.549701077438849,9.299388085144523,-5.601912117122567
Dataset01,all,138,13.8,9.5511182,9.311545,-5.4609338,9.550931088814906,9.311150828763575,-5.462848559935011
Dataset01,all,139,13.9,9.5443691,9.3122543,-5.324658,9.544527989933838,9.3123516998162,-5.326283927465507
Dataset01,all,140,14.0,9.5397574,9.3129588,-5.1825366,9.53982799465231,9.313067822048064,-5.184244000984763
Dataset01,all,141,14.100000000000001,9.5373888,9.3199444,-5.0637136,9.537356851500999,9.319785007058918,-5.064308626461535
Dataset01,all,142,14.200000000000001,9.5361229,9.3141136,-4.9367749,9.536044156020232,9.314486083146168,-4.937604664956324
Dataset01,all,143,14.3,9.5323771,9.3091167,-4.8203836,9.532405833086086,9.309442903721177,-4.820712782175652
Dataset01,all,144,14.4,9.5337028,9.3013855,-4.7370687,9.533524238162101,9.301792917962736,-4.735983481350103
Dataset01,all,145,14.5,9.5371135,9.2964966,-4.6582687,9.536856633590885,9.29675316953652,-4.65703754417667
Dataset01,all,146,14.600000000000001,9.5470428,9.2907728,-4.5958171,9.54653724449489,9.29103427608106,-4.594017623007495
Dataset01,all,147,14.700000000000001,9.553872,9.283164,-4.5347569,9.553529929408318,9.283479659059722,-4.533040029773847
Dataset01,all,148,14.8,9.555033,9.2726461,-4.4837911,9.554962456059185,9.273055281000016,-4.481817317196769
Dataset01,all,149,14.9,9.5650284,9.2795341,-4.4442096,9.56461118230318,9.279192267114743,-4.441935048103632
Dataset01,all,150,15.0,9.569213,9.2836218,-4.4331611,9.569058977342296,9.283395509431196,-4.4299041775959145
Dataset01,all,151,15.100000000000001,9.5692286,9.29863,-4.4359564,9.569271320729335,9.297978729590474,-4.4323839046047615
Dataset01,all,152,15.200000000000001,9.5629973,9.3001961,-4.4386188,9.563301837213391,9.300140718137877,-4.435363196659439
Dataset01,all,153,15.3,9.5653164,9.3098876,-4.4499742,9.565251511719639,9.309526776945342,-4.446668864594878
Dataset01,all,154,15.4,9.5676994,9.3072831,-4.4543717,9.567622536669292,9.307449460431247,-4.451651377850349
Dataset01,all,155,15.5,9.5720207,9.3046274,-4.4589938,9.57187039946993,9.304802501918658,-4.456535376128808
Dataset01,all,156,15.600000000000001,9.5725186,9.3034687,-4.4671657,9.572536573803536,9.303566534034442,-4.464794957021022
Dataset01,all,157,15.700000000000001,9.5694602,9.3005153,-4.4821097,9.56963011999634,9.30067506584522,-4.479678624079327
Dataset01,all,158,15.8,9.5600096,9.3003582,-4.4878065,9.560433929413959,9.300390708794811,-4.4859750038172015
Dataset01,all,159,15.9,9.5541969,9.3002869,-4.5003742,9.554443181102277,9.300307671460196,-4.498450434603375
Dataset01,all,160,16.0,9.549069,9.3055739,-4.5178682,9.549257337366894,9.3053713580206,-4.515912200223309
Dataset01,all,161,16.1,9.5496881,9.3055852,-4.5359455,9.54961997413154,9.305609380394454,-4.534141747043812
Dataset01,all,162,16.2,9.555143,9.3094358,-4.5496738,9.554871087295943,9.309308824159485,-4.54821945250307
Dataset01,all,163,16.3,9.5674334,9.304913,-4.5641258,9.566895923469218,9.305136589562835,-4.562788090669991
Dataset01,all,164,16.400000000000002,9.5715037,9.2960114,-4.5700693,9.57134302852935,9.296409694813379,-4.569208717707768
Dataset01,all,165,16.5,9.5758949,9.2875819,-4.5776692,9.575751124556964,9.287931762265236,-4.576838142715804
Dataset01,all,166,16.6,9.5753244,9.2889637,-4.5845092,9.575398967576602,9.288875236251734,-4.583786163443837
Dataset01,all,167,16.7,9.5836777,9.2937948,-4.5938411,9.58338653673018,9.293554068126767,-4.593085427171854
Dataset01,all,168,16.8,9.5850071,9.2930591,-4.5977833,9.585016919502555,9.293063491223982,-4.597317143298476
Dataset01,all,169,16.900000000000002,9.5878234,9.3014111,-4.5985342,9.587783427880439,9.301050479232963,-4.598253903120895
Dataset01,all,170,17.0,9.5894428,9.3048593,-4.6057797,9.589453757475702,9.304718579379589,-4.605264723904064
Dataset01,all,171,17.1,9.5922604,9.3046838,-4.6098294,9.592223056068423,9.304714344770753,-4.609483288074618
Dataset01,all,172,17.2,9.5932938,9.3096663,-4.6046297,9.593331425062697,9.309488448835529,-4.604703370086179
Dataset01,all,173,17.3,9.5965561,9.3137733,-4.6054171,9.596501493465528,9.313639107049447,-4.6052545181979365
Dataset01,all,174,17.400000000000002,9.5987568,9.3236493,-4.5934416,9.598747123138821,9.323291215631066,-4.593810304069216
Dataset01,all,175,17.5,9.6022371,9.3305615,-4.5893369,9.602177391738062,9.330348910774164,-4.589369485230009
Dataset01,all,176,17.6,9.602924,9.3380185,-4.5830163,9.602982833511081,9.337808751497713,-4.5831234366664235
Dataset01,all,177,17.7,9.6005726,9.3379267,-4.5728796,9.600756259382905,9.338047382102209,-4.573137433821796
Dataset01,all,178,17.8,9.5980187,9.3367947,-4.5628733,9.598199177858959,9.336960939090455,-4.5631085564248215
Dataset01,all,179,17.900000000000002,9.5918405,9.3326712,-4.5552787,9.59215390090304,9.332947572095488,-4.555392217836421
Dataset01,all,180,18.0,9.5859503,9.3265268,-4.5447392,9.586228846020889,9.326865944906697,-4.544958818816344
Dataset01,all,181,18.1,9.5793866,9.3217962,-4.5369939,9.579666184562058,9.32204883857238,-4.537082734270769
Dataset01,all,182,18.2,9.5732468,9.324003,-4.5278839,9.57348355882137,9.323943073552297,-4.52801554612678
Dataset01,all,183,18.3,9.5754852,9.3342531,-4.5238594,9.575353227299495,9.333854071347751,-4.52377116182817
Dataset01,all,184,18.400000000000002,9.5709412,9.3403511,-4.5162894,9.571085672009929,9.340145532277127,-4.516346302722337
